ID,Checking Account Balance,Duration of Loan(months),Credit History,Purpose of Loan,Loan Amount,Savings Account Balance,Years in present employment,Installment Rate (% of disposable income),Marital Status,Co-applicant,Guarantor,Years at present Residence,Real Estate,Age,Other Installment plan credit,Housing,Number of Existing Credits,Job,No. Dependants,Foreign National,Repayment_Status
109971660,Unknown/No Checking Account,24,existing credits paid back duly till now,Entertainment set,3430,GHS 500<= ... < GHS 1000, >= 7 years,3,Single,No,No,1< … <=2 years,No,31,No,Renting,1,Skilled employee / official,2,No,Repaid
300203511,Unknown/No Checking Account,9,critical account,New Car,2134,< GHS 100 DM,1 <= ... < 4 years,4,Single,No,No,>4 years,No,48,No,Renting,3,Skilled employee / official,1,No,Repaid
656531014,< GHS 0,6,existing credits paid back duly till now,Entertainment set,2651,GHS 500<= ... < GHS 1000,1 <= ... < 4 years,2,Single,No,No,2<…<=3 years,Yes,44,No,Own House,1,Skilled employee / official,2,No,Repaid
423512782,< GHS 0,10,critical account,New Car,2241,< GHS 100 DM,< 1 year,1,Single,No,No,2<…<=3 years,Yes,48,No,Own House,2,Unskilled - resident,2,Yes,Repaid
383418665,GHS 0 < ... < GHS 200,12,critical account,Used Car,1804,GHS 100 <= ... <  GHS 500,< 1 year,3,Single,No,No,>4 years,No,35,No,Renting,1,Skilled employee / official,1,No,Repaid
98132592,Unknown/No Checking Account,10,critical account,Furniture,2069,Unknown/ No savings account,1 <= ... < 4 years,2,Married,No,No,<= 1 year,No,26,No,Renting,2,Skilled employee / official,1,Yes,Repaid
116179809,< GHS 0,6,existing credits paid back duly till now,Furniture,1374,< GHS 100 DM,1 <= ... < 4 years,1,Single,No,No,1< … <=2 years,Yes,36,Yes,Renting,1,Unskilled - resident,1,No,Repaid
159054890,Unknown/No Checking Account,6,no credits taken,Entertainment set,426,< GHS 100 DM, >= 7 years,4,Married,No,No,>4 years,No,39,No,Renting,1,Unskilled - resident,1,No,Repaid
907397808,>= GHS 200,12,all credits at this bank paid back duly,Entertainment set,409, => GHS 1000 DM,1 <= ... < 4 years,3,Widowed,No,No,2<…<=3 years,Yes,42,No,Own House,2,Skilled employee / official,1,No,Repaid
817763674,GHS 0 < ... < GHS 200,7,existing credits paid back duly till now,Entertainment set,2415,< GHS 100 DM,1 <= ... < 4 years,3,Single,No,Yes,1< … <=2 years,Yes,34,No,Renting,1,Skilled employee / official,1,No,Repaid
303422810,< GHS 0,60,delay in paying off in the past,Building project,6836,< GHS 100 DM, >= 7 years,3,Single,No,No,>4 years,No,63,No,Renting,2,Skilled employee / official,1,No,Defaulted
866252572,GHS 0 < ... < GHS 200,18,existing credits paid back duly till now,Building project,1913, => GHS 1000 DM,< 1 year,3,Married,No,No,2<…<=3 years,Yes,36,Yes,Renting,1,Skilled employee / official,1,No,Repaid
663942830,< GHS 0,24,existing credits paid back duly till now,Furniture,4020,< GHS 100 DM,1 <= ... < 4 years,2,Single,No,No,1< … <=2 years,No,27,Yes,Renting,1,Skilled employee / official,1,No,Repaid
403145452,GHS 0 < ... < GHS 200,18,existing credits paid back duly till now,New Car,5866,GHS 100 <= ... <  GHS 500,1 <= ... < 4 years,2,Single,No,No,1< … <=2 years,No,30,No,Renting,2,Skilled employee / official,1,No,Repaid
459072808,Unknown/No Checking Account,12,critical account,Building project,1264,Unknown/ No savings account, >= 7 years,4,Single,No,No,>4 years,No,57,No,Own House,1,Unskilled - resident,1,No,Repaid
1150407056,>= GHS 200,12,existing credits paid back duly till now,Furniture,1474,< GHS 100 DM,< 1 year,4,Widowed,No,No,<= 1 year,No,35,Yes,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
53338410,GHS 0 < ... < GHS 200,45,critical account,Entertainment set,4746,< GHS 100 DM,< 1 year,4,Single,No,No,1< … <=2 years,No,25,No,Renting,2,Unskilled - resident,1,No,Defaulted
364412293,Unknown/No Checking Account,48,critical account,Education,6110,< GHS 100 DM,1 <= ... < 4 years,1,Single,No,No,2<…<=3 years,No,31,Yes,Renting,1,Skilled employee / official,1,No,Repaid
689832381,>= GHS 200,18,existing credits paid back duly till now,Entertainment set,2100,< GHS 100 DM,1 <= ... < 4 years,4,Single,Yes,No,1< … <=2 years,Yes,37,Yes,Renting,1,Skilled employee / official,1,No,Defaulted
996182591,>= GHS 200,10,existing credits paid back duly till now,Others,1225,< GHS 100 DM,1 <= ... < 4 years,2,Single,No,No,1< … <=2 years,No,37,No,Renting,1,Skilled employee / official,1,No,Repaid
101158189,GHS 0 < ... < GHS 200,9,existing credits paid back duly till now,Entertainment set,458,< GHS 100 DM,1 <= ... < 4 years,4,Single,No,No,2<…<=3 years,Yes,24,No,Renting,1,Skilled employee / official,1,No,Repaid
757229350,Unknown/No Checking Account,30,existing credits paid back duly till now,Entertainment set,2333,GHS 500<= ... < GHS 1000, >= 7 years,4,Single,No,No,1< … <=2 years,No,30,Yes,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
353375153,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,Entertainment set,1158,GHS 500<= ... < GHS 1000,1 <= ... < 4 years,3,Divorced,No,No,<= 1 year,No,26,No,Renting,1,Skilled employee / official,1,No,Repaid
1055393543,GHS 0 < ... < GHS 200,18,delay in paying off in the past,Others,6204,< GHS 100 DM,1 <= ... < 4 years,2,Single,No,No,>4 years,Yes,44,No,Renting,1,Unskilled - resident,2,No,Repaid
785755257,< GHS 0,30,critical account,Used Car,6187,GHS 100 <= ... <  GHS 500,4 <=... < 7 years,1,Married,No,No,>4 years,No,24,No,Own House,2,Skilled employee / official,1,No,Repaid
1219569878,< GHS 0,48,critical account,Used Car,6143,< GHS 100 DM, >= 7 years,4,Widowed,No,No,>4 years,No,35,Yes,Renting,2,Unskilled - resident,1,No,Defaulted
602322309,Unknown/No Checking Account,11,critical account,New Car,1393,< GHS 100 DM,< 1 year,4,Widowed,No,No,>4 years,No,35,No,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
579224751,Unknown/No Checking Account,36,existing credits paid back duly till now,Entertainment set,2299,GHS 500<= ... < GHS 1000, >= 7 years,4,Single,No,No,>4 years,No,39,No,Renting,1,Skilled employee / official,1,No,Repaid
286840287,< GHS 0,6,existing credits paid back duly till now,Used Car,1350,GHS 500<= ... < GHS 1000,unemployed,1,Widowed,No,No,1< … <=2 years,No,23,No,Own House,1,Unemployed/ Unskilled  - non-resident,1,No,Repaid
1049703891,Unknown/No Checking Account,11,critical account,New Car,7228,< GHS 100 DM,1 <= ... < 4 years,1,Single,No,No,>4 years,No,39,No,Renting,2,Unskilled - resident,1,No,Repaid
296467061,Unknown/No Checking Account,12,existing credits paid back duly till now,Entertainment set,2073,GHS 100 <= ... <  GHS 500,1 <= ... < 4 years,4,Widowed,Yes,No,1< … <=2 years,Yes,28,No,Renting,1,Skilled employee / official,1,No,Repaid
1191562595,GHS 0 < ... < GHS 200,24,delay in paying off in the past,Furniture,2333,Unknown/ No savings account,< 1 year,4,Single,No,No,1< … <=2 years,No,29,Yes,Renting,1,Unskilled - resident,1,No,Repaid
1087229228,GHS 0 < ... < GHS 200,27,delay in paying off in the past,Used Car,5965,< GHS 100 DM, >= 7 years,1,Single,No,No,1< … <=2 years,No,30,No,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
778677862,Unknown/No Checking Account,12,existing credits paid back duly till now,Entertainment set,1262,< GHS 100 DM,1 <= ... < 4 years,3,Single,No,No,1< … <=2 years,No,25,No,Renting,1,Skilled employee / official,1,No,Repaid
1148817602,Unknown/No Checking Account,18,existing credits paid back duly till now,Used Car,3378,Unknown/ No savings account,1 <= ... < 4 years,2,Single,No,No,<= 1 year,No,31,No,Renting,1,Skilled employee / official,1,No,Repaid
1141793707,GHS 0 < ... < GHS 200,36,delay in paying off in the past,New Car,2225,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,No,57,Yes,Renting,2,Skilled employee / official,1,No,Defaulted
744881381,Unknown/No Checking Account,6,all credits at this bank paid back duly,New Car,782,Unknown/ No savings account,1 <= ... < 4 years,1,Single,No,Yes,1< … <=2 years,Yes,26,Yes,Renting,1,Unskilled - resident,2,No,Repaid
499983564,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,Entertainment set,6468,Unknown/ No savings account,unemployed,2,Single,No,No,<= 1 year,No,52,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Defaulted
1207987726,Unknown/No Checking Account,36,critical account,Entertainment set,9566,< GHS 100 DM,1 <= ... < 4 years,2,Widowed,No,No,1< … <=2 years,No,31,Yes,Renting,2,Skilled employee / official,1,No,Repaid
1162626023,>= GHS 200,18,existing credits paid back duly till now,New Car,1961,< GHS 100 DM, >= 7 years,3,Widowed,No,No,1< … <=2 years,No,23,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
575862140,< GHS 0,36,critical account,Furniture,6229,< GHS 100 DM,< 1 year,4,Widowed,Yes,No,>4 years,No,23,No,Own House,2,Unskilled - resident,1,No,Defaulted
722308301,GHS 0 < ... < GHS 200,9,existing credits paid back duly till now,Building project,1391,< GHS 100 DM,1 <= ... < 4 years,2,Married,No,No,<= 1 year,Yes,27,Yes,Renting,1,Skilled employee / official,1,No,Repaid
646354023,GHS 0 < ... < GHS 200,15,critical account,Entertainment set,1537,Unknown/ No savings account, >= 7 years,4,Single,No,Yes,>4 years,Yes,50,No,Renting,2,Skilled employee / official,1,No,Repaid
1176179208,GHS 0 < ... < GHS 200,36,no credits taken,Building project,1953,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,No,61,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Defaulted
873037537,GHS 0 < ... < GHS 200,48,no credits taken,Building project,14421,< GHS 100 DM,1 <= ... < 4 years,2,Single,No,No,1< … <=2 years,No,25,No,Renting,1,Skilled employee / official,1,No,Defaulted
265025724,Unknown/No Checking Account,24,existing credits paid back duly till now,Entertainment set,3181,< GHS 100 DM,< 1 year,4,Widowed,No,No,>4 years,No,26,No,Renting,1,Skilled employee / official,1,No,Repaid
1096163603,Unknown/No Checking Account,27,existing credits paid back duly till now,Others,5190,Unknown/ No savings account, >= 7 years,4,Single,No,No,>4 years,No,48,No,Renting,4,Skilled employee / official,2,No,Repaid
795498145,Unknown/No Checking Account,12,existing credits paid back duly till now,Entertainment set,2171,< GHS 100 DM,< 1 year,2,Widowed,No,No,1< … <=2 years,No,29,Yes,Renting,1,Skilled employee / official,1,No,Repaid
744627273,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,New Car,1007, => GHS 1000 DM,1 <= ... < 4 years,4,Married,No,No,<= 1 year,Yes,22,No,Renting,1,Skilled employee / official,1,No,Repaid
1070157838,Unknown/No Checking Account,36,existing credits paid back duly till now,Education,1819,< GHS 100 DM,1 <= ... < 4 years,4,Single,No,No,>4 years,No,37,Yes,Renting,1,Skilled employee / official,1,No,Defaulted
865412577,Unknown/No Checking Account,36,existing credits paid back duly till now,Entertainment set,2394,Unknown/ No savings account,1 <= ... < 4 years,4,Widowed,No,No,>4 years,No,25,No,Renting,1,Skilled employee / official,1,No,Repaid
1167356129,Unknown/No Checking Account,36,existing credits paid back duly till now,Used Car,8133,< GHS 100 DM,1 <= ... < 4 years,1,Widowed,No,No,1< … <=2 years,No,30,Yes,Renting,1,Skilled employee / official,1,No,Repaid
971175887,Unknown/No Checking Account,7,critical account,Entertainment set,731,Unknown/ No savings account, >= 7 years,4,Single,No,No,1< … <=2 years,No,46,No,Own House,2,Unskilled - resident,1,No,Repaid
506679205,< GHS 0,8,critical account,Others,1164,< GHS 100 DM, >= 7 years,3,Single,No,No,>4 years,No,51,Yes,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,2,No,Repaid
747232341,GHS 0 < ... < GHS 200,42,critical account,Building project,5955,< GHS 100 DM,4 <=... < 7 years,2,Widowed,No,No,<= 1 year,Yes,41,Yes,Renting,2,Unskilled - resident,1,No,Repaid
996713327,< GHS 0,36,existing credits paid back duly till now,Education,1977,Unknown/ No savings account, >= 7 years,4,Single,No,No,>4 years,No,40,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Defaulted
880173863,< GHS 0,12,critical account,Used Car,1526,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,No,66,No,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
1212294437,< GHS 0,42,existing credits paid back duly till now,Entertainment set,3965,< GHS 100 DM,< 1 year,4,Single,No,No,2<…<=3 years,No,34,No,Renting,1,Skilled employee / official,1,No,Defaulted
639870450,GHS 0 < ... < GHS 200,11,delay in paying off in the past,Entertainment set,4771,< GHS 100 DM,4 <=... < 7 years,2,Single,No,No,>4 years,No,51,No,Renting,1,Skilled employee / official,1,No,Repaid
851820175,Unknown/No Checking Account,54,no credits taken,Used Car,9436,Unknown/ No savings account,1 <= ... < 4 years,2,Single,No,No,1< … <=2 years,No,39,No,Renting,1,Unskilled - resident,2,No,Repaid
392807533,GHS 0 < ... < GHS 200,30,existing credits paid back duly till now,Furniture,3832,< GHS 100 DM,< 1 year,2,Married,No,No,<= 1 year,No,22,No,Renting,1,Skilled employee / official,1,No,Repaid
810552633,Unknown/No Checking Account,24,existing credits paid back duly till now,Entertainment set,5943,Unknown/ No savings account,< 1 year,1,Widowed,No,No,<= 1 year,No,44,No,Renting,2,Skilled employee / official,1,No,Defaulted
331663261,Unknown/No Checking Account,15,existing credits paid back duly till now,Entertainment set,1213,GHS 500<= ... < GHS 1000, >= 7 years,4,Single,No,No,2<…<=3 years,No,47,Yes,Renting,1,Skilled employee / official,1,No,Repaid
730020397,Unknown/No Checking Account,18,existing credits paid back duly till now,Building project,1568,GHS 100 <= ... <  GHS 500,1 <= ... < 4 years,3,Widowed,No,No,>4 years,No,24,No,Own House,1,Unskilled - resident,1,No,Repaid
1216711285,< GHS 0,24,existing credits paid back duly till now,Others,1755,< GHS 100 DM, >= 7 years,4,Widowed,No,Yes,>4 years,Yes,58,No,Renting,1,Unskilled - resident,1,No,Repaid
1063803681,< GHS 0,10,existing credits paid back duly till now,Entertainment set,2315,< GHS 100 DM, >= 7 years,3,Single,No,No,>4 years,Yes,52,No,Renting,1,Unskilled - resident,1,No,Repaid
247059076,Unknown/No Checking Account,12,critical account,Building project,1412,< GHS 100 DM,1 <= ... < 4 years,4,Widowed,No,Yes,1< … <=2 years,Yes,29,No,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
701449399,GHS 0 < ... < GHS 200,18,critical account,Furniture,1295,< GHS 100 DM,< 1 year,4,Widowed,No,No,<= 1 year,No,27,No,Renting,2,Skilled employee / official,1,No,Repaid
81312804,GHS 0 < ... < GHS 200,36,existing credits paid back duly till now,Education,12612,GHS 100 <= ... <  GHS 500,1 <= ... < 4 years,1,Single,No,No,>4 years,No,47,No,Renting,1,Skilled employee / official,2,No,Defaulted
442498472,< GHS 0,18,existing credits paid back duly till now,New Car,2249,GHS 100 <= ... <  GHS 500,4 <=... < 7 years,4,Single,No,No,2<…<=3 years,No,30,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,2,No,Repaid
948000455,< GHS 0,12,no credits taken,Others,1108,< GHS 100 DM,4 <=... < 7 years,4,Single,No,No,2<…<=3 years,Yes,28,No,Renting,2,Skilled employee / official,1,No,Defaulted
358657314,Unknown/No Checking Account,12,critical account,Entertainment set,618,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,Yes,56,No,Renting,1,Skilled employee / official,1,No,Repaid
1023823153,< GHS 0,12,critical account,Used Car,1409,< GHS 100 DM, >= 7 years,4,Single,No,No,2<…<=3 years,Yes,54,No,Renting,1,Skilled employee / official,1,No,Repaid
896518154,Unknown/No Checking Account,12,critical account,Entertainment set,797,Unknown/ No savings account, >= 7 years,4,Widowed,No,No,2<…<=3 years,No,35,Yes,Renting,1,Unskilled - resident,2,No,Defaulted
837308195,>= GHS 200,24,critical account,Furniture,3617,Unknown/ No savings account, >= 7 years,4,Single,Yes,No,>4 years,No,20,No,Own House,2,Skilled employee / official,1,No,Repaid
858060878,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,New Car,1318, => GHS 1000 DM, >= 7 years,4,Single,No,No,>4 years,Yes,35,No,Renting,1,Skilled employee / official,1,No,Repaid
529657162,GHS 0 < ... < GHS 200,54,no credits taken,Building project,15945,< GHS 100 DM,< 1 year,3,Single,No,No,>4 years,No,58,No,Own House,1,Skilled employee / official,1,No,Defaulted
336343763,Unknown/No Checking Account,12,critical account,Education,2012,Unknown/ No savings account,4 <=... < 7 years,4,Widowed,No,No,1< … <=2 years,No,61,No,Renting,1,Skilled employee / official,1,No,Repaid
1268378734,GHS 0 < ... < GHS 200,18,existing credits paid back duly till now,Building project,2622,GHS 100 <= ... <  GHS 500,1 <= ... < 4 years,4,Single,No,No,>4 years,No,34,No,Renting,1,Skilled employee / official,1,No,Repaid
283756331,GHS 0 < ... < GHS 200,36,critical account,Entertainment set,2337,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,Yes,36,No,Renting,1,Skilled employee / official,1,No,Repaid
1275294783,GHS 0 < ... < GHS 200,20,delay in paying off in the past,Used Car,7057,Unknown/ No savings account,4 <=... < 7 years,3,Single,No,No,>4 years,No,36,Yes,Own House,2,Management/ Self-employed/ Highly qualified employee/ officer,2,No,Repaid
1264325274,Unknown/No Checking Account,24,existing credits paid back duly till now,New Car,1469,GHS 100 <= ... <  GHS 500, >= 7 years,4,Married,No,No,>4 years,Yes,41,No,Own House,1,Unskilled - resident,1,No,Repaid
51143065,GHS 0 < ... < GHS 200,36,existing credits paid back duly till now,Entertainment set,2323,< GHS 100 DM,4 <=... < 7 years,4,Single,No,No,>4 years,No,24,No,Own House,1,Skilled employee / official,1,No,Repaid
1241314024,Unknown/No Checking Account,6,delay in paying off in the past,Entertainment set,932,< GHS 100 DM,1 <= ... < 4 years,3,Widowed,No,No,1< … <=2 years,Yes,24,No,Renting,1,Skilled employee / official,1,No,Repaid
516461830,GHS 0 < ... < GHS 200,9,critical account,Furniture,1919,< GHS 100 DM,4 <=... < 7 years,4,Single,No,No,2<…<=3 years,No,35,No,Own House,1,Skilled employee / official,1,No,Repaid
118060609,Unknown/No Checking Account,12,existing credits paid back duly till now,Used Car,2445,Unknown/ No savings account,< 1 year,2,Married,No,No,>4 years,No,26,No,Own House,1,Skilled employee / official,1,No,Repaid
125634560,GHS 0 < ... < GHS 200,24,critical account,Others,11938,< GHS 100 DM,1 <= ... < 4 years,2,Single,Yes,No,2<…<=3 years,No,39,No,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,2,No,Defaulted
669117578,Unknown/No Checking Account,18,all credits at this bank paid back duly,New Car,6458,< GHS 100 DM, >= 7 years,2,Single,No,No,>4 years,No,39,Yes,Renting,2,Management/ Self-employed/ Highly qualified employee/ officer,2,No,Defaulted
233984998,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,New Car,6078,< GHS 100 DM,4 <=... < 7 years,2,Single,No,No,1< … <=2 years,No,32,No,Renting,1,Skilled employee / official,1,No,Repaid
939556672,< GHS 0,24,existing credits paid back duly till now,Furniture,7721,Unknown/ No savings account,< 1 year,1,Widowed,No,No,1< … <=2 years,No,30,No,Renting,1,Skilled employee / official,1,Yes,Repaid
548728581,GHS 0 < ... < GHS 200,14,existing credits paid back duly till now,Building project,1410,GHS 500<= ... < GHS 1000, >= 7 years,1,Married,No,No,1< … <=2 years,Yes,35,No,Renting,1,Skilled employee / official,1,No,Repaid
508894767,GHS 0 < ... < GHS 200,6,delay in paying off in the past,Building project,1449,GHS 100 <= ... <  GHS 500, >= 7 years,1,Divorced,No,No,1< … <=2 years,No,31,Yes,Renting,2,Skilled employee / official,2,No,Repaid
1017022347,>= GHS 200,15,existing credits paid back duly till now,Education,392,< GHS 100 DM,< 1 year,4,Widowed,No,No,>4 years,No,23,No,Own House,1,Skilled employee / official,1,No,Repaid
330356349,GHS 0 < ... < GHS 200,18,existing credits paid back duly till now,New Car,6260,< GHS 100 DM,4 <=... < 7 years,3,Single,No,No,2<…<=3 years,Yes,28,No,Own House,1,Unskilled - resident,1,No,Repaid
931688823,Unknown/No Checking Account,36,critical account,New Car,7855,< GHS 100 DM,1 <= ... < 4 years,4,Widowed,No,No,1< … <=2 years,Yes,25,Yes,Renting,2,Skilled employee / official,1,No,Defaulted
726511755,< GHS 0,12,existing credits paid back duly till now,Entertainment set,1680,GHS 500<= ... < GHS 1000, >= 7 years,3,Married,No,No,<= 1 year,Yes,35,No,Renting,1,Skilled employee / official,1,No,Repaid
1142535903,Unknown/No Checking Account,48,critical account,Entertainment set,3578,Unknown/ No savings account, >= 7 years,4,Single,No,No,<= 1 year,Yes,47,No,Renting,1,Skilled employee / official,1,No,Repaid
1274941861,< GHS 0,42,existing credits paid back duly till now,Entertainment set,7174,Unknown/ No savings account,4 <=... < 7 years,4,Widowed,No,No,2<…<=3 years,No,30,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Defaulted
144512157,< GHS 0,10,critical account,Furniture,2132,Unknown/ No savings account,< 1 year,2,Widowed,Yes,No,2<…<=3 years,Yes,27,No,Own House,2,Skilled employee / official,1,Yes,Repaid
772535073,< GHS 0,33,critical account,Furniture,4281,GHS 500<= ... < GHS 1000,1 <= ... < 4 years,1,Widowed,No,No,>4 years,No,23,No,Renting,2,Skilled employee / official,1,No,Defaulted
1192898886,GHS 0 < ... < GHS 200,12,critical account,New Car,2366,GHS 500<= ... < GHS 1000,4 <=... < 7 years,3,Divorced,No,No,2<…<=3 years,No,36,No,Renting,1,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
1254333906,< GHS 0,21,existing credits paid back duly till now,Entertainment set,1835,< GHS 100 DM,1 <= ... < 4 years,3,Widowed,No,No,1< … <=2 years,Yes,25,No,Renting,2,Skilled employee / official,1,No,Defaulted
138992658,Unknown/No Checking Account,24,critical account,Used Car,3868,< GHS 100 DM, >= 7 years,4,Widowed,No,No,1< … <=2 years,No,41,No,Own House,2,Management/ Self-employed/ Highly qualified employee/ officer,1,No,Repaid
170846604,Unknown/No Checking Account,12,existing credits paid back duly till now,Furniture,1768,< GHS 100 DM,1 <= ... < 4 years,3,Single,No,No,1< … <=2 years,Yes,24,No,Own House,1,Unskilled - resident,1,No,Repaid
633350536,>= GHS 200,10,critical account,New Car,781,< GHS 100 DM, >= 7 years,4,Single,No,No,>4 years,No,63,No,Renting,2,Skilled employee / official,1,No,Repaid
276473398,GHS 0 < ... < GHS 200,18,existing credits paid back duly till now,Furniture,1924,Unknown/ No savings account,< 1 year,4,Widowed,No,No,2<…<=3 years,Yes,27,No,Own House,1,Skilled employee / official,1,No,Defaulted
1265622159,< GHS 0,12,critical account,New Car,2119,< GHS 100 DM,1 <= ... < 4 years,4,Single,No,No,1< … <=2 years,No,30,No,Renting,2,Skilled employee / official,1,No,Repaid
1116646914,< GHS 0,12,existing credits paid back duly till now,Entertainment set,701,< GHS 100 DM,1 <= ... < 4 years,4,Married,No,No,1< … <=2 years,Yes,40,No,Renting,1,Unskilled - resident,1,No,Repaid
401381995,GHS 0 < ... < GHS 200,12,existing credits paid back duly till now,Others,639,< GHS 100 DM,1 <= ... < 4 years,4,Single,No,No,1< … <=2 years,No,30,No,Renting,1,Skilled employee / official,1,No,Defaulted
